content,sentiment
"Saya sudah daftar perpanjangan SIM dari tanggal 3 mei 2021, sudah mengikuti sesuai prosedur yang diminta, sudah sampai tahap pembayaran, untuk saat ini status transaksinya masih dibayar, sedangkan SIM masa berlakunya sampai tanggal 10 mei 2021, mohon segera ditindaklanjuti. Terimakasih.",Positif
Alhamdulillah akhirnya di proses jg sim sy stelah pengajuan dr tanggal 30 april sampai skrng tgl 6 mei status di kirim.smoga kedepan nya SLA nya lebih cepat lagi Korlantas Polri.BRAVO !!!,Positif
"Muter"" terus di lokasi satpas sudah dicoba seharian...polda jabar emang belum ada ya? Kalau saya tinggal di bandung berarti belum bisa menggunakan aplikasi ini?",Positif
Saya sudah bayar Tes Kesehatan dan Psikotes tapi tidak ada pilihan tes kesehatanya tidak terkoneksi dengan barcode faskes yg di sarankan.,Positif
"Alhamdulillah sehari smua proses tes kesehatan dan psikotes selesai,dan sempat error di hari pertama ..di hari ke2 semua selesai dan lgsg penyelesaian pembayaran ,dan di aplikasi sudah kelihatan sim a saya .mohon tanya ,saya sempat salah memasukan masa berlaku ..di 26 mei 2021 .harusnya di 2026 .apakah bisa di ralat di sana,wkt di cetak..terima kasih",Positif
"Saya ucapkan terima kasih kepada POLRI, karena dengan adanya aplikasi Digital Korlantas Polri ini saya bisa memperpanjang SIM saya secara online, walaupun butuh waktu 7 hari dari tgl 27 april baru diproses tgl 4 Mei dan dikirim tgl 5 Mei via kantor pos, karena mungkin terjadi lonjakan yg memperpanjang sim jadi butuh waktu untuk diprosesnya. Terima kasih POLRI..",Positif
Ferry good,Positif
Mantap akhirnya sukses terimakasih Korlantas Porli tinggal pengambilan SIM sukses terus,Positif
Sangat membantu,Positif
Apakah tes kesehatan tetap harus ke faskes,Positif
"SIM kita terekam secara digital pada aplikasi ini. pertanyaannya apakah jika ada razia polisi ataupun saat petugas menanyakan tentang kelengkapan berkendara yg salah satunya adalah SIM, kita bisa menunjukan SIM yg tertera pada aplikasi ini? jika bisa apa dasar hukumnya biar kami masyarakat tau? Jika tidak bisa unt apa ada SIM digital? Krn sekarang pun sdh zaman digital pembayaran tanpa membawa uang cash bs dilakukan bahkan beberapa fasilitas publik cm menerima pembayaran digital.",Positif
"Hanya bisa untuk perpanjangan SIM, namun sudah sangat membantu di era pandemi saat ini tidak perlu repot-repot kembali ke daerah asal hanya untuk perpanjangan SIM. Semoga prosesnya berhasil sampai terbit SIM baru, agar bisa bintang lima.",Positif
"Sekedar saran bagi kalian yg mau perpanjangan SIM, usahakan kalo mau perpanjang lewat online jangan terlalu mepet dgn masa aktifnya, --90 hari sdh bisa di ajukan, jadi kalo misalnya prosesnya lama, nggak dag dig dug. Sy juga sedang mengurus sdh 3 hari mandeg di proses... Untungnya msh 2 bln lagi, Sy jg yakin butuh waktu krn antrian... semoga sim sy cpt terselesaikan.,,, Beberapa saat kemudian paket di kirim ke tujuan, sangat membantu sekali jadi gak repot mesti dateng langsung",Positif
mimin kenapa saya mau ngisi nama polda tidak bisa ya? 😭,Positif
Ok,Positif
Baguss..tapi saya mau daftar SIM baru ko .. halaman belum tersedia ?,Positif
Sangat membantu,Positif
"Alhamdulillah berhasil perpanjang SIM online walaupun kemarin sempat panik karena SIM digital masa berlakunya 2021. Prosesnya cepat, malam ujian dan melengkapi data, paginya udah di proses dan dikirim. Tinggal nunggu dateng, terima kasih.",Positif
Ok,Positif
Bagus,Positif
selalu gagal saat verifikasi wajah. mohon bantuannya.,Positif
daftar eppsi kok tidak bisa ya??,Positif
ok,Positif
"Pas poto verifikasi ktp gagal terus, udah diulang beberapa kali beberapa hari masih tetep gagal. Kenapa?",Positif
"Bintang 5 dah, akhir nya selama menunggu 5hari kerja, jadi juga SIM nya",Positif
Pelayanan cepat Proses berjalan lancar. Tingkatkan terus.. Terimakasih POLRI,Positif
"bayar tgl 1, diproses tgl 3, tgl 5 sudah sampai di gresik, dikirim dari Satpas Jombang pake Pos, sangat membantu.",Positif
Terima kasih untuk Korlantas polri.perpanjangan SIM C saya sudah berhasil di tangan saya.sangat membantu untuk pekerja di luar pulau.brapo korlantas porli 👍,Positif
Untuk perpanjangan SIM B1 apakah bisa online..?,Positif
"Udh membayar tes ,dan tinggal pilih wilayah polda ,tapi untuk polda JATENG kok gak ada.. Gimama ini??",Positif
"Mohon pencerahannya, saya sudah beberapa kali verifikasi wajah tapi selalu gagal, apakah ada solusi?",Positif
Mantap. Sekarang perpanjangan SIM jadi mudah. 10 hari sim terkirim sampe rumah. Terima kasih.,Positif
Mantap! Sim saya sudah sampai rumah dengan lancar. 😁👍,Positif
Aplikasi nya sudah bisa di gunakan thanks cuman kartu nya bisa di ambil ga ya?,Positif
mantappp lanjutkan,Positif
Keren saya sudah coba,Positif
Saya udah ngisi data dengan benar tpi pas perivikasi dta kurang valid. pas sya liat di riwayat sedang d proses. Jd mana yg benar?,Positif
"Memudah kan perpanjang SIM Tidak perlu antri panjang , smoga kedepan bisa juga perpanjang SIM selain A Dan C Juga",Positif
Kok masuk nya ya,Positif
Untuk pembuatan sim online kapan ya bisa diaksesnya ?,Positif
Semoga layanan lain segera tersedia,Positif
Ok,Positif
"Alhamdulillah SIM udh jadi.. Mantap,",Positif
Semoga sesuai dengan estimasi proses perpanjang masa berlaku sim saya...bravo korlantas,Positif
Apakah lokasi satpas polda sulut belum tersedia? Soalnya sudah sampai di tahap pengisian lokasi satpas tapi hanya loading terus lokasinya tidak muncul. Giliran dicoba wilayah jawa langsung muncul lokasi polda nya. Atau bisa memilih polda lainnya saja yang sudah tersedia semisal polda metro jaya?? Mohon bantuannya,Positif
"Lagi proses perpanjang sim A, udh ada dipilihan satpas tapi pas masukin polda nya kok muter aja. Pdhl udh tes dokter sm psikologi. Gimana ya min? Pdhl sim habis bbrpa hri lagi",Positif
Mohon maaf saya sudah mengikuti tes kesehatan dan psikologi tapi lokasi satpas polda jateng belum ada di aplikasi.apakah saya bisa memilih lokasi si aplikasi yg tersedia yaitu polda metro jaya.trimakasih,Positif
"Untuk lokasi satpas, kenapa daerah saya tidak ada? Saya berdomisili di RIAU",Positif
"Alhamdulillah udah selesai semua tahapannya. Terima kasih Korlantas Polri atas kemudahannya. Maaf sebelumnya tadi aku kasih rating jelek, setelah dicoba di hp yang lain ternyata bisa juga, alhamdulillah. Sangat membantu sekali",Positif
Alhamdulillah. SIM nya sudah diterima. Terimakasih POLRI dan PT. POS Indonesia. Semoga ke depannya lebih baik lagi dan lokasi SATPAS bisa di setiap daerah,Positif
Sangat mudah perpanjangan sim yang sudah saya lakukan. Walaupun tinggal di aceh saya pilih satpas metro jaya tetap bisa. Sim dikirim via pos 3 hari kerja sudah saya terima. Good job digita korlantas polri. Tetap kembangkan fitur2 lainnya.👍,Positif
"Alhamdulillah semua proses berjalan dengan lancar. Meskipun sempat tidak ada peningkatan progres setelah melakukan pembayaran, namun setelah sy mengirim email pengaduan, SIM langsung di proses dan dikirim pada hari yg sama...",Positif
Hanya sekedar saran Dikarenakan proses pembuatan melalui online lumayan lama Apa lagi buat satpas yang belum terdaftar di aplilasi Mau tidak mau kita harus ikut satpas daerah yang delat dengan domisili kita Harapan saya sih ada sim digital untuk pengganti sementara sampai sim fisik nya jadi atau di terima oleh si pembuat sim Apabila ada razia sim digital itu sebagai pengganti nya sebelum sim fisik nya jadi atau kita terima Harap jadi pertimbangan Terimakasih,Positif
"Lu kalau mau perpanjang sim di aplikasih ini , 1 . Lu harus siapin data lu yg bener2 valid 2 . Harus ekstra sabar, saya baru di cetak setelah 15 hari bayar 3. Kalau satpas di daerah kalian kaga di temukan di aplikasi ini saran cari satpas polda metro jaya bali surabaya gitu aja udah, 4 . Foto harus bagus coe 5. Sekali lagi harus sabar Dan terakhir buat developer nya semngat kembangin lagi satpas nya di seluruh indonesia dan fitur2 nya di tunggu pengembangannya",Positif
"Aplikasi nya bagus, tp harus sering sosialisasi.. kmrn satpas gk bs di isi karna saya wil jateng, stlh tlp CS nya 3hr baru diangkat 😂 dijelasin deh kalo saya harus buat di jatim nnti ikut yg polres jombang, harusnya buat sosmed min biar sosialisasinya baik",Positif
"Ini sy pake metode ambil sendiri sudah diproses,tp diaplikasi gk dijelaskan ambilnya dimana cm ada konfirmasi terimA,,",Positif
sy naikan bintangnya karena berhasil perpanjang SIM dari aplikasi ini walaupun prosesnya cukup rumit dan memakan waktu lama sy daftar tgl 26 dan sy terima SIM baru tgl 4 ya setidaknya sy tidak usah repot datang ke samsat untuk perpanjangan,Positif
"Benar2 menguji kesabaran, bikin A Dan C ndk bisa jadi satu, auto ongkir 2x, semoga kedepanny lebih baik",Positif
"Untuk proses awal lumayan lama. Harus sabar. SIM sudah diterima. Satpas Jogja belum ada, jadi pilih Metro jaya. Proses penerbitan 1 minggu.",Positif
"Praktis, mudah, cepat dan bebas pungli",Positif
"di page transaksi masih di sudah bayar belum di proses proses euy padahal udah hampir seminggu ,",Positif
"Maaf saya mau bertanya.. Masa berlaku SIM A saya sampai 6 Mei 2021, saya barusan (4 Mei 2021) baru selesai menyelesaikan semua persyaratan yg dibutuhkan termasuk melakukan transfer ke rek BNI untuk perpanjangan SIM. Pertanyaan saya ""Jika sampai 6 Mei 2021 SIM Online saya belum juga dikirim, Apa saya bisa menunjukan Aplikasi ini ke Petugas Polisi Saat Ada Razia sebagai bukti sementara sebelum SIM aslinya jadi, dikirim dan sampai ke rumah saya ?"" Terimakasih..",Positif
kenapa saya sulit memencet jenis pengiriman lewat pos,Positif
"Setelah selesai dicetak, apakah sim dikirim lewat pos ,dan cara pembayaran nya gimana dan dimana harus dibayar.. Mohon solusinya 👍🙏",Positif
Baru coba,Positif
"Alhamdulillah, Terima kasih SIM Saya sudah sampai, meskipun cari lokasi Satpas terdekat di Jawa tengah belum ada, akhirnya saya pilih Satpas Jakarta barat. Semoga ke depannya makin maju. Terima kasih Korlantas Polri dan PT Pos.",Positif
Kenapa tidak bisa verifikasi ktp yang pake wajah itu ya? Padahal saya sudah mengikuti panduan Selalu gagal,Positif
Mantaaaappp,Positif
"Pembuatan sim saya sudah sampai tahap bayar, tapi tidak ada nomer rekening tujuan yg harus dibayar, itu bagaiamana ya? Apa harus ngulang atau nunggu dulu Saya mau bayar tapi tidak ada rekening atau nomer virtual account yg dituju, tolong pencerahannya min",Positif
Untuk hasil erikkes koq saya diarahkan harus datang ke faskes yang ditunjuk pak?kalo sebelumnya hasil nya lgsg keluar..mohon penjelasan,Positif
"Sangat membantu, maju terus Korlantas Polri",Positif
"Tinggal pembayaran terus gak sengaja keluar, terus masuk lagi tapi kok gak ada panduan untuk masuk dan melakukan pembayaran, hanya status. Saya mau ulang malah aplikasinya kelura sendiri ketika upload data, ini masalahnya setelah upgrade aplikasi.",Positif
"Kenapa dari tanggal 2-4 mei sekarang ini tidak bisa memilih satpas, padahal sudah ganti hp dan sinyal juga bagus. Apakah sedang ada trouble pada sistem, mohon bantuannya. Terimakasih",Positif
"Saya ingin bertanya, kenapa saya ingin mendaftar sim tapi keterangannya ""Layanan belum tersedia"", itu kenapa yaaa ??",Positif
Tidak bisa ikut psikotes kenapa ya,Positif
"sangat membantu, praktis, mudah dan hasilnya tidak mengecewakan👍👍👍",Positif
Mantab,Positif
"Alhamdulillah... untuk pengurusan perpanjangan SIM A dan C done dalam waktu yang tidak terlalu lama, dan Insyaa Allah tinggal menunggu fisik kedua SIM tersebut dikirim sesuai alamat. JOSSSS GANDOS.... Matur nuwun ADMIN, semoga kian memberikan kemudahan dalam proses² administrasi kepada MASYARAKAT.",Positif
"Kenapa saya berkali-kali verifikasi ektp gagal terus, saya juga sudah kirim email namun belum ada tanggapan, mohon bantuannya.",Positif
"Semua persyaratan udah lengkap tp, pas masuk wilayah POLDA ko JABAR g ada ya...? Gimna ini pak...? Saya domisili d Cianjur. Apakah bisa warga JABAR cetak SIM di Metro Jaya..? Terimakasih",Positif
"sebaik nya sekalian bisa untuk semua sim, Sim-C A-polos / A-umum B1-polos / B1-umum B2-polos / B2-umum. biar lebih mantap...",Positif
Mantap jadi mudah perpanjang sim,Positif
"Selamat pagi, Mohon info, saya sudah akan proses bayar namun tidak ada nomor VA untuk pembayaran SIM A & SIM C. gimana caranya saya dapat no VA transaksi 2 SIM tersebut? Terimakasih",Positif
Kalau buat sim baru apa sudah bisa yah,Positif
Terima kasih. Orang pada kasih rating jelek karena tidak sabar mengikuti prosedur yang ada. Jadi yang mau perpanjang sim via online silahkan dicoba saja. Untuk satpas yang tersedia baru Metro Jaya sama Jatim (Jombang). Jadi jangan heran kalau cari satpas sendiri tidak ketemu.,Positif
Lebih mudah dan praktis,Positif
"Terima kasih, aplikasinya sangat membantu. Tingkatkan terus pelayanan, prosesnya klo bisa lebih di percepat.",Positif
Bagai mana kami yang mau perpanjang SIM B2 umum pak/ibu,Positif
Mantap 👍,Positif
Tolong dong untuk pemilihan lokasi satpas-nya loading terus. Padahal saya sudah selesai kelengkapan persyaratannya. Apa pengaruh lokasi yang saya pilih Kalimantan timur-bontang. Tolong bantuannya.. Terimakasih banyak atas penjelasannya lewat email 🙏 saya tinggal menunggu paket sim tiba. Semoga semakin baik lagi.. dipermudah sampai ke pelosok. Tiap pulau dibuat lokasi satpas-nya agar ringan biaya pengirimannya.,Positif
Sangat bermanfaat terima kasih polri,Positif
"Admin, kapan nih rilis fitur pembuatan SIM nya?",Positif
Saya ingin dipermudah oleh digital,Positif
Awalnya susah login. Tapi akhirnya SIM saya jadi juga. Gak harus antri ke polres. TERIMAKASIH DIGITAL KORLANTAS,Positif
"oke, tinggal nunggu waktu proses msh 40%",Positif
Keren,Positif
"Bagus..., sangat mempermudah dengan tidak meninggalkan aturan yg ada",Positif
"Terimakasih atas kecepatan dan kemudahan proses pengurusan sim online, dari mulai tes kesehatan dan psikologi online. Memang di polda jatim hanya ada pilihan satpas jombang tapi bisa dikirim lewat pos jadi lebih mudah",Positif
"Aplikasi yg sangat membantu dlm pengurusan perpanjangan SIM.. Pengiriman cepat, tanpa harus antri panjang.. Semoga ke depan fiturnya semakin lengkap.. Kmrn utk pilihan Polda sprtinya baru Metro Jaya & Jatim saja yg muncul.. Dan utk Satpas Polda Jatim hanya Mojokerto yg muncul. Krn posisi sy di Surabaya, sy coba pilih sj trnyata bisa.. Terhitung dari selesai psikotes, tes kesehatan, pembayaran pada tgl 30/04/21, lalu tgl 03/05/21 SIM baru sudah sy terima.. Thanks Korlantas Polri & PT Pos Indonsia",Positif
"Aplikasinya sangat membantu, tips yg mau perpanjang harus punya online banking dan aplikasi edit foto background biru, jika tidak ya harus mau wira wiri buat transfer administrasi dan edit foto ke studio foto, sedikit ribet tp ga harus jauh² ke polres yg jauh dari rumah so bisa menghemat waktu dan biaya transportasi jg, terimakasih",Positif
"Aplikasi sangat membantu untuk perpanjang SIM, proses cepat. terimakasih Digital Korlantas POLRI.",Positif
"Berkali kali saya ambil foto untuk verifikasi KTP tapi tidak bisa, mohon solusinya Pak Polisi Terimakasih",Positif
Knapa ya ketika mau masuk aplikasi tes kesehatan kok slalu gagal dan muncul sistem tidak mendeteksi kamera . Mungkin ada yg bisa bantu saya..,Positif
"Aplikasi yg sangat membantu, izin bertanya, ketika saya mau verifikasi KTP dengan foto wajah kenapa tidak ada tombol untuk melanjutkan proses hasil foto ya? Padahal saya sudah foto.",Positif
"Applikasi sangat membantu, proses juga cepat dari daftar sampai sim nya dikirim kerumah, karena saya tinggal sragen dan satpas sragen blm melayani jadi saya perpanjang sim lewat satpas jombang-jatim cukup 3hari.",Positif
Bagus,Positif
"Aplikasi recommended Tidak perlu antri, cukup di rumah saja 😊 Terimakasih banyak Korlantas Polri 🙏",Positif
Setelah proses selesai.apakah nanti juga ada ujian lagi pak.atau tinggal ambil kartu SIM nya. Maaf baru pemula apk ini,Positif
"Halo selamat siang , saya mau bertanya. Knapa verifikasi e ktp ga bisa berhasil terus ya. Sudah di coba 4 hari. Kendalanya apa ya kira kira. Terima kasih",Positif
Verifikasi KTP gagal terus di bagian foto.,Positif
"Aplikasi sudah online, setelah update digitalisai data SIM lama sudah bisa. Aplikasi E-rikkes jg sdh aktif. Semoga perbaikan berkesinambungan agar aplikasi bisa dan mudah digunakan. Terima kasih POLRI",Positif
"Mantap sangat membantu,semoga lancar jaya",Positif
Sekarang jadi bintang 4... Tapi saya lupa mau transfer kemana?? Masuk lagi di aplikasi tidak ketemu no rekening nya,Positif
Mantap SIM sy sudah jadi. Dan tidak perlu repot2 utk antri ke satlantas. SIM langsung diantar sampai rumah. Respon tim Digital Korlantas Polri cepat dan baik sekali. Yg mengalami kendala mungkin bisa email ke tim langsung.,Positif
"Halo, Saya sudah melakukan pembayaran di tgl 27 apr, namun hingga kini status proses nya belum berubah, berapa lama waktu yang diperlukan untk menunggu hingga SIM selesai. Notes: TOLONG ditambahkan layanan pengaduan, karena sampai sekarang masih blm tersedia, terimakasih.",Positif
Proses lumayan cepat 1 hari jadi dan pengiriman juga cepat 3 hari sampai karena dikirim hari jumat dan sampai rumah hari senin.,Positif
"Sementara bintang 4 dulu, kalau fiturnya udah komplit dan kompleks, saya siap memberikan bintang 5",Positif
Keren,Positif
slamat pagi saya mau bertanya kenapa pas udah di lokasi satpas bufering ya pa/bu tolong pencerahanya,Positif
"Terima kasih Korlantas POLRI atas aplikasi yang sangat membantu ini. Saya telah memanfaatkannya untuk perpanjangan SIM C biarapun saya saat ini tinggal di Medan namun pelayanan yang diberikan tidak ada masalah signifikan, WA Korlantas POLRI cukup membantu saya dalam bertanya jika ada masalah. Suatu keniscayaan untuk membuat aplikasi yang sempurna dalam sekali launching, oleh sebab itu teruslah mengembangkan aplikasi ini. POLRI Presisi. Terima kasih Korlantas POLRI",Positif
Blum pernah coba semoga bisa membantu saya buat sim C,Positif
"Mohon maaf sebelumnya ... Kenapa pas waktu saya mau memilih pendaftaran sim baru kenapa ga bisa ya ..? Dan jawabanya sedang dalam pengembangan ... Kira"" butuh waktu berapa lama ya sampai selesai pengembangannya ?. Terima kasih",Positif
Sangat membantu,Positif
OK,Positif
kapan apk ini bisa di gunakan untuk pembuatan sim baru,Positif
Sangat bagus dan mempermudah pelayanan,Positif
Belum bisa bikin SIM online ya bang? Saya mau bikin,Positif
Oke ya,Positif
Lebih Efisien *MANTUULL*,Positif
"Saya sudah mencoba berulang kali, tetapi selalu gagal dalam mengisi data. Mohon dibantu solusinya. Karena bisa sangat membantu saat pengurusan. Bulan ini mau perpanjangan. Terima kasih",Positif
Ok,Positif
"In Syaa Allah, Bahwa perpanjangan dengan sestem online akan sangat mempermudah juga efisien waktu",Positif
Alhamdulillah proses sampai dengan bayar selsai.. tinggal menunggu SIM saya di proses dan dikirim.. Bagi kawan2 yg sulit verifikasi foto e-KTP.. saya punya pengalaman untuk verifikasi email terlebih dahulu.. setelah itu coba menggunakan HP yg terbaru.. mungkin HP saya yg lama kamera depan kurang responsif mengambil gambar.. namun ketika pakai HP istri untuk perpanjangan SIM an.saya Alhamdulillah lancar.. Dtgu kedatangan SIM nya ke rumah saya Terima kasih,Positif
Sangat membantu mengurangi calo,Positif
Biar seneng,Positif
"Mohon pencerahanya kenapa POLDA JATIM hanya ada pilihan SATPAS JOMBANG?, Apa tidak apa2? Karena lokasi saya sekarang sidoarjo. Saya sudah selesaiken tahapanya semua dan bayar administrasinya, apa saya tinggal tunggu sim di kirim saja?. Mohon pencerahanya karena masa berlaku sim saya akan segera berakhir. Terima kasih Polri🙏",Positif
"Luar biasa,kendala hanya di verifikasi KTP (penyebab kamera harus kualitas bagus & klau gagal verifikasi fhoto ke e-KTP biasanya beda model rambut),kendala wilayah Polda untuk satpas hanya tersedia Metro Jaya dan Jatim,kalau bisa sudah seluruh indonesia",Positif
Alhamdulillah sudah diproses...semoga bs ditambah lagi fitur2nya sehingga semua mudah dilakukan dari rumah.,Positif
Bagus,Positif
Mantap ini aplikasinya. Dalam seminggu SIM udh dikirim. Tolong dikembangkan biar notifikasi nya update,Positif
Mantab,Positif
"Umtuk App digital korlantas polri sudah bagus, dan Saya sudah menyelesaikan semua persyaratan dari tanggal 30 April, sudah membayar permohonan SIM. Tp untuk sttus di App masih 40% saja. Apakah transaksi saya sedang diproses apa bgaimana? Sedangkan masa berlaku SIM saya tanggal 9 mei. Mohon infonya🙏🙏🙏",Positif
Sangak membantu sy,Positif
Mudah banget perpanjangan sim nya. Yang gak bisa bisa hub saya.,Positif
"Apa bisa perpanjang SIM secara online yg masa berlakunya berakhir 27 maret? Adakah dispensasi Atau apa solusi lainnya, apakah harus benar benar buat SIM baru? Untuk aplikasi nya masih harus ditingkatkan, saya sudah coba verifikasi data tp selalu kembali ke semula di tengah tengah proses. Terimakasih mohon dijawab",Positif
good,Positif
Semoga bisa membantu masyarakat dalam pembuatan SIM,Positif
ok,Positif
Saya memperpanjang sim dr tgl 26/4/2021 sampe skrg ko mash proses trs ya.. pdhal adm ny udh..,Positif
