,Content,Sentiment,content_clean
43,Kok verifikasi foto gagal mulu ya.. apa bener ni aplikasi.. mau bikin SIM baru soalnya,Negatif,verifikasi foto gagal mulu ya bener ni aplikasi bikin sim
44,"Niat perpanjang SIM secara online. Udah tes ePPsi sama E-Rikkes. Sudah sampai pengisian formulir pengiriman, eh kecamatan saya tidak ada di daftar padahal kecamatan lain di kabupaten saya ada di daftar. Entah karena bug nya dari Pos Indonesia atau dari aplikasi tersebut saya ngga tahu. Akhirnya ngga jadi perpanjang SIM lewat online. Mohon perbaiki masalah tersebut",Negatif,niat panjang sim online udah tes eppsi e-rikkes isi formulir kirim eh camat daftar camat kabupaten daftar bug nya pos indonesia aplikasi ngga ngga panjang sim online mohon baik
45,Maaf mau tanya...saya sudah daftar...tapi ada notif tidak bisa akses dan menghubungi satpas terdekat...maksudnya apa yah ? Makasih,Negatif,maaf daftar notif akses hubung satpas dekat maksud yah makasih
46,"Pelayanan perpanjangan sim,apakah utk seluruh NKRI,atau masih pulau jawa,saya dari sumatra apa bisa?",Positif,layan panjang simapakah utk nkriatau pulau jawasaya sumatra
47,Saya mau buat sim tapi harus menyelesaikan dokumen nya tinggal verifikasi ektp udah Foto dicahaya terang kok ga bisa bisa.verifikasi e ktp gagal trs mohon bantuannya admin,Positif,sim selesai dokumen nya tinggal verifikasi ektp udah foto cahaya terang ga bisa verifikasi e ktp gagal trs mohon bantu admin
48,"Sdh download kok d aplikasi saya Mau buat sim ,, tpi katax belum tersedia masih dalam pengembangan",Negatif,sdh download d aplikasi sim tpi katax sedia kembang
49,pembayaran lewat tranfers apa kes pak kapolri?,Negatif,bayar tranfers kes kapolri
50,"Pelayanan prima, mudah dan cepat. Keep it up korlantas polri",Positif,layan prima mudah cepat keep it up korlantas polri
51,"mohon di tindak lanjuti , tes kesehatan , jln bhayangkara 8 pare kediri , setelah booking berhasil , saya ke lokasi, sama petugas di tolak , katanya tidak kerjasama sama aplikasi ini , trus pegawainya bilang kalau ini itu aplikasi abal2 , akhirnya saya booking ke RS Bhayangkara kediri baru bisa , mohon kalau kayak gitu di hapus aja dari daftar pelayanan tes kesehatan , dari pada orang jauh2 datang di tolak dengan tidak sopan seperti itu",Negatif,mohon tindak lanjut tes sehat jln bhayangkara pare diri booking hasil lokasi tugas tolak kerjasama aplikasi trus pegawai bilang aplikasi abal booking rs bhayangkara diri mohon kayak gitu hapus aja daftar layan tes sehat orang tolak sopan
52,"Sangat membantu untuk perpanjangan sim, mudah dan cepat. Terimakasih.",Positif,bantu panjang sim mudah cepat terimakasih
53,"payah, jadwal tes kesehatan sama sekali payah...bener bener payah. Di aplikasi rikes bisa reservasi hari sabtu, pas ke rs yang dipilih dokter tidak ada..bener bener payah, sangat amat mengecewakan.",Negatif,payah jadwal tes sehat payah bener bener payah aplikasi rikes reservasi sabtu pas rs pilih dokter bener bener payah kecewa
54,Mengapa saya tidak bisa menggunakan aplikasi ini?,Negatif,aplikasi
55,Saya sudah menggunakan aplikasi ini dan berhasil tanpa harus kesana kemari.. maju terus,Positif,aplikasi hasil kesana kemari maju
56,"Sebenarnya aplikasi nya bagus.. hanya saja tes kesehatan harus di klinik yang tertera di aplikasi erikkes.. Andai saja tes kesehatan bisa dilakukan di mana saja, pasti akan sangat mempermudah masyarakat sehingga mengurangi kerumunan di tempat umum.. jadi bisa sejalan dengan peraturan pemerintah mengenai pengurangan aktivitas di luar rumah.. Btw, saya belum melakukan tes kesehatan karena di daerah saya klinik yang dituju oleh aplikasi erikkes belum ada..",Netral,aplikasi nya bagus tes sehat klinik tera aplikasi erikkes andai tes sehat mudah masyarakat kurang kerumun jalan atur perintah kurang aktivitas rumah btw tes sehat daerah klinik tuju aplikasi erikkes
57,"Aplikasi cakep banget, pelayanan kaorlantas kgususnya sim makin mudah makin presisi... MANTAAPP👍👍",Positif,aplikasi cakep banget layan kaorlantas kgususnya sim mudah presisi mantaapp
58,Sudah lengkap semua persyaratan tapi sudah bayar tapi tiba tiba di tolak karena kurang foto sim lama. Mau daftar lgi di Aplikasinya tidak bisa.,Netral,lengkap syarat bayar tolak foto sim daftar lgi aplikasi
59,"Apa ada nomer call center untuk konsultasi langsung, terimakasih",Netral,nomer call center konsultasi langsung terimakasih
60,"Selamat pagi admin. Ijin bertanya, sy sudah mengikuti instruksi hingga bayar untuk perpanjangan SIM pada hari kamis tgl 1 Juli 2021 jam 14:57. Namun hingga sabtu pagi ini prosesnya masih pada notif sudah bayar. Jika minggu progresnya tidak berubah, apakah sebaiknya tgl 5 Juli 2021 (deadline perpanjangan SIM saya), saya perpanjang SIM secara offline saja? Ataukah jika sudah pada tahap sudah bayar sebelum deadline, posisinya SIM tetap bisa diperpanjang masa berlakunya? Terima kasih sebelumnya.",Positif,selamat pagi admin ijin sy ikut instruksi bayar panjang sim kamis tgl juli jam sabtu pagi proses notif bayar minggu progres ubah tgl juli deadline panjang sim panjang sim offline tahap bayar deadline posisi sim panjang laku terima kasih
61,Jadi hemat makasih polantas,Positif,hemat makasih polantas
62,Uu,Negatif,uu
63,Untuk pendaftaran SIM baru kok masih belum bisa di gunakan?,Negatif,daftar sim
64,Membantu,Positif,bantu
65,Ok,Positif,ok
66,pak maaf kl utk bikin sim c lewat online ap masih perlu datang kepolres kl jawaban'y puas saya tambah bintang'y,Netral,maaf kl utk bikin sim c online ap kepolres kl jawab y puas bintang y
67,"Bintang 4 dulu dah,, sbb belum bisa Pendaftaran SIM baru. Hanya bisa utk Perpanjangan saja. Mohon segera update versi spya yg mau bikin SIM baru bisa juga. Makasih KORLANTAS 🙏",Positif,bintang dah sbb daftar sim utk panjang mohon update versi spya yg bikin sim makasih korlantas
68,Mantap,Positif,mantap
69,Klo perpanjangan SIM online daftar jg jam operasional kantor y?,Positif,klo panjang sim online daftar jg jam operasional kantor y
70,Saya sudah berhasil proses perpanjangan sim online. Tapi setelah saya melakukan proses pembayaran. Sudah 4 hari sim sya blm di proses. Mohon untuk follow upnya,Negatif,hasil proses panjang sim online proses bayar sim sya blm proses mohon follow upnya
71,Saya mau daftar sim c online kenapa gak bisa mula ya min kenapa ya ?,Positif,daftar sim c online gak ya min ya
72,Sangat membantu masyarakat yg bekerja di perantauan bravo polri,Positif,bantu masyarakat yg rantau bravo polri
73,"Sangat terbantu ,,mohon pencarahan nya ada yang tau...sayah punya sim A tapi hilang sayah bikin sim di jakrta tapi alamat sayah sukabumi kota ,,begitu sayah bikin laporan surat kehilangan yang di pertanyakan no sim nya sayah tidak ingat karna sayah tidak punya cadangan seperti foto copian nya ,,apa sayah harus ke jakrta lagi untuk minta no sim nya kira kira di sukabumi bisa gk ya sesuai alamat sayah atau bagus nya gimana mohon pencerahan nya ada yang udah pernah seperti sayah ,,terimakasih",Positif,bantu mohon carah nya tau sayah sim a hilang sayah bikin sim jakrta alamat sayah sukabumi kota sayah bikin lapor surat hilang no sim nya sayah karna sayah cadang foto copian nya sayah jakrta no sim nya sukabumi gk ya sesuai alamat sayah bagus nya gimana mohon cerah nya udah sayah terimakasih
74,Aplikasinya bagus... 👍,Positif,aplikasi bagus
75,Terimah kasih aplikasi ini sangat sangatlah membantu bagi masyarakat,Positif,terimah kasih aplikasi bantu masyarakat
76,Good...apk,Positif,good apk
77,"Untuk Banjarmasin Kalsel belum bisa ya, soalnya waktu opsi pilihan ""wilayah polda"" yg ada cuma MERTOJAYA, BALI, JATIM, padahal sudah berhasil tahap tes kesehatan dan pisikotes",Netral,banjarmasin kalsel ya opsi pilih wilayah polda yg mertojaya bal jatim hasil tahap tes sehat pisikotes
78,"Bikin aplikasi tp gak niat mengelolalnya mosok konfirmasi OTP aja sulitnya kayak bikin sim baru aja muter""",Negatif,bikin aplikasi tp gak niat mengelolalnya mosok konfirmasi otp aja sulit kayak bikin sim aja muter
79,sangat membantu sekali,Positif,bantu
80,Mau tanya pak klo bayar PKB motor tahunan yg online gmna ya wilayah Jakarta. Taun kmrin bisa pke samolnas skrg ga bisa..terimakasih,Netral,klo bayar pkb motor tahun yg online gmna ya wilayah jakarta taun kmrin pke samolnas skrg ga terimakasih
81,Knpa penambahan kartu sim ga bisa yah. Padahal sya sudah memasukan nomor sim yg tertera di sim. Mhon bantu untuk kendala penambahan sim. Klw bisa sya tambah 7 bintang.trimakasi,Netral,knpa tambah kartu sim ga yah sya pasu nomor sim yg tera sim mhon bantu kendala tambah sim klw sya bintang trimakasi
82,Menu pembuatan sim baru kapan di rilis?,Negatif,menu buat sim rilis
83,"Verifikasi e-ktp nya ndak ramah bagi pengguna yg punya mata minus, di suruh lepas kacamata dan mngikuti perintah yg secara otomatis ndak kelihatan lha min.. Mndekatpun ada tulisan wajah anda trlalu besar dan gagal trus..",Positif,verifikasi e-ktp nya ndak ramah guna yg mata minus suruh lepas kacamata mngikuti perintah yg otomatis ndak lha min mndekatpun tulis wajah trlalu gagal trus
84,Sangat bermanfaat,Positif,manfaat
85,"Ini aplikasi apa, menu STNK, ETLE,NTMC, pengaduan semuanya tidak bisa di buka, layanan belum tersedia, di menu sinar pun yang bisa di akses cuma perpanjangan sim aja, saran aja mending bikin aplikasi perpanjangan sim aja, dari pada menunya banyak semua belum tersedia",Negatif,aplikasi menu stnk etlentmc adu buka layan sedia menu sinar akses panjang sim aja saran aja mending bikin aplikasi panjang sim aja menu sedia
86,"Tolong perbaiki, upload foto & dokumen pendukung gak bisa. Aplikasi selalu close sendiri saat upload",Negatif,tolong baik upload foto dokumen dukung gak aplikasi close upload
87,"Sangat puas dengan adanya aplikasi SINAR,terima kasih SIM y udah sampai.",Positif,puas aplikasi sinarterima kasih sim y udah
88,Sangat membantu,Positif,bantu
89,Tiga dulu ya..mw nanya..Buka aplikasi jam 15.33 nggk bisa.. Ada wktu nya online nya ya??,Netral,ya mw nanya buka aplikasi jam nggk wktu nya online nya ya
90,Terbaik,Positif,baik
91,Best,Positif,best
92,"Ga bisa lanjutkan,, cuma stuck di halaman masukkan pin 🙁",Negatif,ga lanjut stuck halaman masuk pin
93,"Sudah lagi proses perpanjangan sim lewat aplikasi ini, semoga bisa bener bener jadi simnya.",Positif,proses panjang sim aplikasi moga bener bener simnya
94,"mohon bantuan nya, saya sudah selesaikan semua syarat perpanjangan sim saya juga sudah bayar, tetapi keterangan di aplikasi sim tidak di proses proses sudah 2 hari belum terproses, saya takut nanti sim belum di proses sampai masa berlaku sim saya habis.mohon infonya",Positif,mohon bantu nya selesai syarat panjang sim bayar terang aplikasi sim proses proses proses takut sim proses laku sim habis mohon info
95,"halo, kenapa layanan aduan masih belum tersedia ?? saya perpanjangan sim sudah 4 hari kerja belum ada kejelasan mohon info nanti bisa konfirmasi lewat apa",Negatif,halo layan adu sedia panjang sim kerja jelas mohon info konfirmasi
96,"Hallo, saya sudah download aplikasi ini, saya kira bisa membuat SIM (sebelumnya belum pernah buat sim) tapi ternyata tidak bisa ya?",Negatif,hallo download aplikasi sim sim ya
97,"Pelayanan perpanjangan sangat cepat. Hanya lama di pengiriman. Tapi saya puas, krn memberikan kemudahan di masa pandemi seperti ini.. :) Jaya Selalu Korlantas POLRI",Positif,layan panjang cepat kirim puas krn mudah pandemi jaya korlantas polri
98,Dalam proses fertifikasi e ktp kok gagal terus ya...mohon penjelanya...,Negatif,proses fertifikasi e ktp gagal ya mohon jela
99,"Mantap perpanjang sim cukup drumah saja, sim dikirim. Semoga kedepan lebih banyak satpas sim online yang tersedia jadi kirimny gak kejauhan. Sangat membantu aplikasiny. Terima kasih",Positif,mantap panjang sim drumah sim kirim moga depan satpas sim online sedia kirimny gak jauh bantu aplikasiny terima kasih
100,untuk pembuatan sim baru bisa g pak..,Netral,buat sim g
101,"Saya tidak bisa mengisi wilayah polda dan nama satpas,padahal persyaratan sudah lengkap",Negatif,isi wilayah polda nama satpaspadahal syarat lengkap
102,aplikasinya sangat membantu dan pelayanan pengambilan SIM polres depoknya juga sangat ramah dan Kooperatif. keren 🥰🥰🥰,Positif,aplikasi bantu layan ambil sim polres depoknya ramah kooperatif keren
103,"Pak mohon dibantu, apakah aplikasi ada maintenance? Saat menggukan aplikasi terhenti di lokasi satpas, saya buat lokasi satpas Polda MetroJaya... Terima kasih sebelumnya.. Betul pak belum semua wilayah. Sudah kordinasi dengan call center Digital Korlantas. Langsung diarahkan solusinya..Mantap. Terima kasih.. Sedang proses..akan di-update kembali komen ini..",Netral,mohon bantu aplikasi maintenance menggukan aplikasi henti lokasi satpas lokasi satpas polda metrojaya terima kasih wilayah kordinasi call center digital korlantas langsung arah solusi mantap terima kasih proses di-update komen
104,Sangat memuaskan,Positif,muas
105,"Sekedar info untuk wil bantul jogja belum bisa. Sya coba proses tgl 01 juli 2021 berhenti di test kesehatan karena belum conect dengan system kata petugas kliniknya ( klinik pleret ) padahal sudah test psikolog dan bisa. Alhasil harus tetap manual dan memang harus manual ( info staff dipolres Bantul). Support untuk aplikasi ini sangat bermanfaat dimasa PPKM, tambah terus untuk lingkup wilayahnya ,👍",Positif,dar info wil bantul jogja sya coba proses tgl juli henti test sehat conect system tugas klinik klinik pleret test psikolog alhasil manual manual info staff dipolres bantul support aplikasi manfaat masa ppkm lingkup wilayah
106,Cepat dan mudah,Positif,cepat mudah
107,Aplikasinya ngebug terus lah. Mau verifikasi data diri ktp aja gk bisa. Dicoba berulang ulang juga tetap ngebug gk bisa digunakan. Tolong ya developernya dibenahin lagi nih aplikasi!!!!,Negatif,aplikasi ngebug verifikasi data ktp aja gk coba ulang ulang ngebug gk tolong ya developer dibenahin nih aplikasi
108,"Saya sudah lakukan pendaftaran, saat pilih area Polda dan satpas, jawa barat area Bandung, ko ga bisa",Netral,laku daftar pilih area polda satpas jawa barat area bandung ko ga
109,"Dari pengalaman saya Aplikasi ini sangat membantu, dalam perpanjangan SIM online. Tidak perlu antre di satlantas dan tidak perlu mondar mandir cukup dirumah saja mengikuti instruksi dr aplikasi dan tunggu beberapa hari hasil SIM akan sampai dirumah. Saran saya tingkatkan lagi fungsi pelayanan yang lainnya karena pada apk ini hanya baru bisa perpanjangan SIM saja.",Positif,alam aplikasi bantu panjang sim online antre satlantas mondar mandir rumah ikut instruksi dr aplikasi tunggu hasil sim rumah saran tingkat fungsi layan apk panjang sim
110,Mau buat SIM baru kok gk bisa ya? Mohon pencerahan nya 🙏🙏,Netral,sim gk ya mohon cerah nya
111,Halo! Sya sudah isi smua yg diperintahkan. Tp knp sim saya dikirimnya lama ya? Saya bkin tgl 30 smpe skrg msh 40% dgn status dibayar Mohon bantuannya,Positif,halo sya isi smua yg perintah tp knp sim kirim ya bkin tgl smpe skrg msh dgn status bayar mohon bantu
112,Mengapa saya tidak bisa daftar SIM secara online ya. Mohon informasinya. Terimakasih,Positif,daftar sim online ya mohon informasi terimakasih
113,"Pada saat memilih wilayah POLDA, aplikasinya hanya muter2 terus gak ada respon ? Ternyata hanya tersedia untuk wilayah metro jaya dan JATIM Padahal udah bayar tes huftt",Positif,pilih wilayah polda aplikasi muter gak respon sedia wilayah metro jaya jatim udah bayar tes huftt
114,"Saya sudah daftar permohonan perpanjangan SIM tgl 30 juni semua persyaratan dan pembayaran sudah lengkap,tetapi status masih dibayar dan blum diproses.mohon pencerahan nya",Positif,daftar mohon panjang sim tgl juni syarat bayar lengkaptetapi status bayar blum proses mohon cerah nya
115,Kenapa layanan belum tersedia. Masih dalam proses pengembangan?????,Positif,layan sedia proses kembang
116,"maaf mau nanya untuk sim saya ternyata salam bulan lahir nya, untuk di ktp 26 juni di sim 26 juli, itu bisa di perpanjang gk yah pak, terima kasih",Positif,maaf nanya sim salam lahir nya ktp juni sim juli panjang gk yah terima kasih
117,Terima kasih. Inovasi pelayanan yang sangat memudahkan. Semoga terus dikembangkan dan memberikan manfaat lebih luas lagi. Bravo Polri.,Positif,terima kasih inovasi layan mudah moga kembang manfaat luas bravo polri
118,"Ya begitulah...!, Belum bisa2 verifikasi😎⭐, Sorry⭐⭐⭐",Negatif,ya verifikasi sorry
119,Di aplikasi saya kok tidak ada menu perpanjang sim?gimana yaa,Positif,aplikasi menu panjang sim gimana yaa
120,"Aplikasi Sudah bagus.. cuma kalo bisa biaya pengiriman dikurangin, mahal banget... Dan juga untuk 2 SIM A & C kan satu alamat, jadi usahakan dijadiin satu aja pengirimannya, biar bisa hemat di ongkir... Semoga masukannya dipertimbangkan",Positif,aplikasi bagus kalo biaya kirim rangin mahal banget sim a c alamat usaha dijadiin aja kirim biar hemat ongkir moga masuk timbang
121,Saya kok tidak mendapatkan pesan link masuk lwt email saat verifikasi email,Negatif,pesan link masuk lwt email verifikasi email
122,Ok bnget,Positif,ok bnget
123,"Sempat kawatir karena tidak bisa memakai aplikasi ini, karena selalu gagal diverifikasi data KTP. Tapi Alhamdulillah setelah ganti HP dan upgrade aplikasi akhirnya SIM saya jadi juga. Terima kasih Korlantas Polri. Terus perbaiki dan kembangkan aplikasi lainnya 👍",Positif,kawatir pakai aplikasi gagal verifikasi data ktp alhamdulillah ganti hp upgrade aplikasi sim terima kasih korlantas polri baik kembang aplikasi
124,Mau buat SIM Nggak bisa,Negatif,sim nggak
125,Verifikasi KTP doang ribay_- Padahal udah pake E-KTP🤣,Negatif,verifikasi ktp doang ribay udah pake e-ktp
126,Bintang 5 buat Digital Korlantas Polri. Sangat memuaskan pelayan perpanjangan SIM online.,Positif,bintang digital korlantas polri muas layan panjang sim online
127,Sangat memudahkan ibu hamil untuk perpanjangan SIM.. jadi gak perlu mengantri lagi di tengah pandemi seperti ini.. terimakasih Korlantas polri..,Positif,mudah hamil panjang sim gak antri pandemi terimakasih korlantas polri
128,"Pak maaf sebelumnya ini akun saya kok tidak bisa untuk kelanjutan ya pak sudah verifikasi juga tapi untuk perihal beranda aplikasi untuk klik STNK, NTMC,atau yg lainnya tertulis masih dalam pengembangan ini gimana pak?mohon ditindaklanjuti pak saya mau membuat sim A di area jawa tengah pak,,terimakasih sebelumnya.🙏",Netral,maaf akun lanjut ya verifikasi perihal beranda aplikasi klik stnk ntmcatau yg tulis kembang gimana mohon ditindaklanjuti sim a area jawa pakterimakasih
129,Apakah aplikasi ini sdah bisa di gunakan seluruh polres,Netral,aplikasi sdah polres
130,"Buat kali ini, saya apresiasi deh,, good job",Positif,kali apresiasi deh good job
131,"data sudah tervervikasi, sim c sudah terlewat mati, tinggal sim a masih 7 bulan lagi mau habis, ada notifikasi tidak seandainya sim sudah bisa di proses untuk di perpanjang",Positif,data tervervikasi sim c lewat mati tinggal sim a habis notifikasi anda sim proses panjang
132,Aplikasi apaan ini udah hampir setengah tahun kok dalam pengembangan terus..mau bikin SIM malah ribet pake aplikasi gak guna ini..,Negatif,aplikasi udah kembang bikin sim ribet pake aplikasi gak
133,Gk bisa dibuka..,Negatif,gk buka
134,Mungkin sbagian besar orang kurang paham dengan apk ini,Negatif,sbagian orang paham apk
135,"Aplikasinya bener2 bagus.. secara lg pandemi gini kan cukup buka aplikasi, isi dokumen pendukung, tes kesehatan dan psikologi, bayar trus lgsg kirim simnya.. ga perlu lg dtg2 ke polda ketemu byk org diluaran yg ga tau kondisi mereka gimana.. terima kasih",Positif,aplikasi bener bagus lg pandemi gin buka aplikasi isi dokumen dukung tes sehat psikologi bayar trus lgsg kirim simnya ga lg dtg polda ketemu byk org luar yg ga tau kondisi gimana terima kasih
136,"Saya coba buat perpanjang sim bapak saya tapi nggak tau klo cuma bisa perpanjang sim A dan sim C,,sedangkan sim bapak saya sim B1 umum udah terlanjur isi data ternyata nggak bisa,,data yang udah terisi bakal bahaya atau di salah gunakan tidak nanti nya ya",Negatif,coba panjang sim nggak tau klo panjang sim a sim csedangkan sim sim b udah lanjur isi data nggak bisadata udah isi bahaya salah nya ya
137,Aplikasi gak guna banyak salah tempat,Negatif,aplikasi gak salah
138,"Dari segi tampilan sudah bagus, namun sayang, aplikasi masih belum bisa di gunakan untuk mendaftar dan lain-lain. Semoga bisa secepatnya bisa di perbaharui",Netral,segi tampil bagus sayang aplikasi daftar lain moga cepat baharu
139,Good,Positif,good
140,"Pilihan perpnjangan SIM di sblaha mana ya,ko gk ktemu di aplikasi Sinar?? Trimakasih",Negatif,pilih perpnjangan sim sblaha yako gk ktemu aplikasi sinar trimakasih
141,min... tanggal 28 juni 2021 status registrasi dan sudah di bayar.... sampe sekarang tanggal 1 juli 2021. Status masih blm berubah ... kapan ya di prosesnya....,Positif,min tanggal juni status registrasi bayar sampe tanggal juli status blm ubah ya proses
142,"Bagus sekali, sim saya sudah jadi",Positif,bagus sim
143,Mudah dan cepat,Positif,mudah cepat
144,"Ini gimana min, mau simpan data tapi gagal terus?",Negatif,gimana min simpan data gagal
