,content,sentiment,content_preprocessed
77,selalu gagal saat verifikasi wajah. mohon bantuannya.,Positif,gagal verifikasi wajah mohon bantu
78,daftar eppsi kok tidak bisa ya??,Positif,daftar eppsi
79,ok,Positif,ok
80,"Pas poto verifikasi ktp gagal terus, udah diulang beberapa kali beberapa hari masih tetep gagal. Kenapa?",Positif,pas poto verifikasi ktp gagal ulang gagal
81,"Bintang 5 dah, akhir nya selama menunggu 5hari kerja, jadi juga SIM nya",Positif,bintang deh tunggu kerja sim
82,Pelayanan cepat Proses berjalan lancar. Tingkatkan terus.. Terimakasih POLRI,Positif,layan cepat proses jalan lancar tingkat terimakasih polri
83,"bayar tgl 1, diproses tgl 3, tgl 5 sudah sampai di gresik, dikirim dari Satpas Jombang pake Pos, sangat membantu.",Positif,bayar tanggal proses tanggal tanggal gresik kirim satpas jombang pakai pos bantu
84,Terima kasih untuk Korlantas polri.perpanjangan SIM C saya sudah berhasil di tangan saya.sangat membantu untuk pekerja di luar pulau.brapo korlantas porli 👍,Positif,terima kasih korlantas polri panjang sim sih hasil tangan bantu kerja pulau brapo korlantas porli
85,Untuk perpanjangan SIM B1 apakah bisa online..?,Positif,panjang sim b online
86,"Udh membayar tes ,dan tinggal pilih wilayah polda ,tapi untuk polda JATENG kok gak ada.. Gimama ini??",Positif,bayar tes tinggal pilih wilayah polda polda jateng gimama
87,"Mohon pencerahannya, saya sudah beberapa kali verifikasi wajah tapi selalu gagal, apakah ada solusi?",Positif,mohon cerah verifikasi wajah gagal solusi
88,Mantap. Sekarang perpanjangan SIM jadi mudah. 10 hari sim terkirim sampe rumah. Terima kasih.,Positif,mantap panjang sim mudah sim kirim rumah terima kasih
89,Mantap! Sim saya sudah sampai rumah dengan lancar. 😁👍,Positif,mantap sim rumah lancar
90,Aplikasi nya sudah bisa di gunakan thanks cuman kartu nya bisa di ambil ga ya?,Positif,aplikasi thanks cuman kartu ambil
91,mantappp lanjutkan,Positif,mantap lanjut
92,Keren saya sudah coba,Positif,keren coba
93,Saya udah ngisi data dengan benar tpi pas perivikasi dta kurang valid. pas sya liat di riwayat sedang d proses. Jd mana yg benar?,Positif,ngisi data pas perivikasi dta valid pas lihat riwayat proses
94,"Memudah kan perpanjang SIM Tidak perlu antri panjang , smoga kedepan bisa juga perpanjang SIM selain A Dan C Juga",Positif,mudah panjang sim antri moga depan panjang sim a sih
95,Kok masuk nya ya,Positif,masuk
96,Untuk pembuatan sim online kapan ya bisa diaksesnya ?,Positif,buat sim online akses
97,Semoga layanan lain segera tersedia,Positif,moga layan sedia
98,Ok,Positif,ok
99,"Alhamdulillah SIM udh jadi.. Mantap,",Positif,alhamdulillah sim mantap
100,Semoga sesuai dengan estimasi proses perpanjang masa berlaku sim saya...bravo korlantas,Positif,moga sesuai estimasi proses panjang laku sim bravo korlantas
101,Apakah lokasi satpas polda sulut belum tersedia? Soalnya sudah sampai di tahap pengisian lokasi satpas tapi hanya loading terus lokasinya tidak muncul. Giliran dicoba wilayah jawa langsung muncul lokasi polda nya. Atau bisa memilih polda lainnya saja yang sudah tersedia semisal polda metro jaya?? Mohon bantuannya,Positif,lokasi satpas polda sulut sedia tahap isi lokasi satpas loading lokasi muncul gilir coba wilayah jawa langsung muncul lokasi polda pilih polda sedia polda metro jaya mohon bantu
102,"Lagi proses perpanjang sim A, udh ada dipilihan satpas tapi pas masukin polda nya kok muter aja. Pdhl udh tes dokter sm psikologi. Gimana ya min? Pdhl sim habis bbrpa hri lagi",Positif,proses panjang sim a pilih satpas pas pasuk polda muter tes dokter psikologi min sim habis
103,Mohon maaf saya sudah mengikuti tes kesehatan dan psikologi tapi lokasi satpas polda jateng belum ada di aplikasi.apakah saya bisa memilih lokasi si aplikasi yg tersedia yaitu polda metro jaya.trimakasih,Positif,mohon maaf ikut tes sehat psikologi lokasi satpas polda jateng aplikasi pilih lokasi sih aplikasi sedia polda metro jaya trimakasih
104,"Untuk lokasi satpas, kenapa daerah saya tidak ada? Saya berdomisili di RIAU",Positif,lokasi satpas daerah domisili riau
105,"Alhamdulillah udah selesai semua tahapannya. Terima kasih Korlantas Polri atas kemudahannya. Maaf sebelumnya tadi aku kasih rating jelek, setelah dicoba di hp yang lain ternyata bisa juga, alhamdulillah. Sangat membantu sekali",Positif,alhamdulillah selesai tahap terima kasih korlantas polri mudah maaf kasih rating jelek coba hp alhamdulillah bantu
106,Alhamdulillah. SIM nya sudah diterima. Terimakasih POLRI dan PT. POS Indonesia. Semoga ke depannya lebih baik lagi dan lokasi SATPAS bisa di setiap daerah,Positif,alhamdulillah sim terima terimakasih polri pt pos indonesia moga depan lokasi satpas daerah
107,Sangat mudah perpanjangan sim yang sudah saya lakukan. Walaupun tinggal di aceh saya pilih satpas metro jaya tetap bisa. Sim dikirim via pos 3 hari kerja sudah saya terima. Good job digita korlantas polri. Tetap kembangkan fitur2 lainnya.👍,Positif,mudah panjang sim laku tinggal aceh pilih satpas metro jaya sim kirim via pos kerja terima good job gita korlantas polri kembang fitur
108,"Alhamdulillah semua proses berjalan dengan lancar. Meskipun sempat tidak ada peningkatan progres setelah melakukan pembayaran, namun setelah sy mengirim email pengaduan, SIM langsung di proses dan dikirim pada hari yg sama...",Positif,alhamdulillah proses jalan lancar tingkat progres bayar kirim email adu sim langsung proses kirim
109,Hanya sekedar saran Dikarenakan proses pembuatan melalui online lumayan lama Apa lagi buat satpas yang belum terdaftar di aplilasi Mau tidak mau kita harus ikut satpas daerah yang delat dengan domisili kita Harapan saya sih ada sim digital untuk pengganti sementara sampai sim fisik nya jadi atau di terima oleh si pembuat sim Apabila ada razia sim digital itu sebagai pengganti nya sebelum sim fisik nya jadi atau kita terima Harap jadi pertimbangan Terimakasih,Positif,dar saran proses buat online lumayan satpas daftar aplilasi satpas daerah delat domisili harap sih sim digital ganti sim fisik terima sih buat sim razia sim digital ganti sim fisik terima harap timbang terimakasih
110,"Lu kalau mau perpanjang sim di aplikasih ini , 1 . Lu harus siapin data lu yg bener2 valid 2 . Harus ekstra sabar, saya baru di cetak setelah 15 hari bayar 3. Kalau satpas di daerah kalian kaga di temukan di aplikasi ini saran cari satpas polda metro jaya bali surabaya gitu aja udah, 4 . Foto harus bagus coe 5. Sekali lagi harus sabar Dan terakhir buat developer nya semngat kembangin lagi satpas nya di seluruh indonesia dan fitur2 nya di tunggu pengembangannya",Positif,lu panjang sim aplikasih lu siapin data lu valid ekstra sabar cetak bayar satpas daerah kagak temu aplikasi saran cari satpas polda metro jaya bal surabaya foto bagus coe sabar developer semangat kembangin satpas indonesia fitur tunggu kembang
111,"Aplikasi nya bagus, tp harus sering sosialisasi.. kmrn satpas gk bs di isi karna saya wil jateng, stlh tlp CS nya 3hr baru diangkat 😂 dijelasin deh kalo saya harus buat di jatim nnti ikut yg polres jombang, harusnya buat sosmed min biar sosialisasinya baik",Positif,aplikasi bagus sosialisasi kemarin satpas isi wil jateng telepon cs angkat dijelasin deh kalo jatim polres jombang sosmed min biar sosialisasi
112,"Ini sy pake metode ambil sendiri sudah diproses,tp diaplikasi gk dijelaskan ambilnya dimana cm ada konfirmasi terimA,,",Positif,pakai metode ambil proses aplikasi ambil mana konfirmasi terima
113,sy naikan bintangnya karena berhasil perpanjang SIM dari aplikasi ini walaupun prosesnya cukup rumit dan memakan waktu lama sy daftar tgl 26 dan sy terima SIM baru tgl 4 ya setidaknya sy tidak usah repot datang ke samsat untuk perpanjangan,Positif,naik bintang hasil panjang sim aplikasi proses rumit makan daftar tanggal terima sim tanggal repot samsat panjang
114,"Benar2 menguji kesabaran, bikin A Dan C ndk bisa jadi satu, auto ongkir 2x, semoga kedepanny lebih baik",Positif,uji sabar bikin a sih ndk auto ongkir moga kedepanny
115,"Untuk proses awal lumayan lama. Harus sabar. SIM sudah diterima. Satpas Jogja belum ada, jadi pilih Metro jaya. Proses penerbitan 1 minggu.",Positif,proses lumayan sabar sim terima satpas jogja pilih metro jaya proses terbit minggu
116,"Praktis, mudah, cepat dan bebas pungli",Positif,praktis mudah cepat bebas pungli
117,"di page transaksi masih di sudah bayar belum di proses proses euy padahal udah hampir seminggu ,",Positif,page transaksi bayar proses proses euy minggu
118,"Maaf saya mau bertanya.. Masa berlaku SIM A saya sampai 6 Mei 2021, saya barusan (4 Mei 2021) baru selesai menyelesaikan semua persyaratan yg dibutuhkan termasuk melakukan transfer ke rek BNI untuk perpanjangan SIM. Pertanyaan saya ""Jika sampai 6 Mei 2021 SIM Online saya belum juga dikirim, Apa saya bisa menunjukan Aplikasi ini ke Petugas Polisi Saat Ada Razia sebagai bukti sementara sebelum SIM aslinya jadi, dikirim dan sampai ke rumah saya ?"" Terimakasih..",Positif,maaf laku sim a mei barusan mei selesai selesai syarat butuh transfer rek bni panjang sim mei sim online kirim tunjuk aplikasi tugas polisi razia bukti sim asli kirim rumah terimakasih
119,kenapa saya sulit memencet jenis pengiriman lewat pos,Positif,sulit pencet jenis kirim pos
120,"Setelah selesai dicetak, apakah sim dikirim lewat pos ,dan cara pembayaran nya gimana dan dimana harus dibayar.. Mohon solusinya 👍🙏",Positif,selesai cetak sim kirim pos bayar mana bayar mohon solusi
121,Baru coba,Positif,coba
122,"Alhamdulillah, Terima kasih SIM Saya sudah sampai, meskipun cari lokasi Satpas terdekat di Jawa tengah belum ada, akhirnya saya pilih Satpas Jakarta barat. Semoga ke depannya makin maju. Terima kasih Korlantas Polri dan PT Pos.",Positif,alhamdulillah terima kasih sim cari lokasi satpas dekat jawa pilih satpas jakarta barat moga depan maju terima kasih korlantas polri pt pos
123,Kenapa tidak bisa verifikasi ktp yang pake wajah itu ya? Padahal saya sudah mengikuti panduan Selalu gagal,Positif,verifikasi ktp pakai wajah ikut pandu gagal
124,Mantaaaappp,Positif,mantaaaappp
125,"Pembuatan sim saya sudah sampai tahap bayar, tapi tidak ada nomer rekening tujuan yg harus dibayar, itu bagaiamana ya? Apa harus ngulang atau nunggu dulu Saya mau bayar tapi tidak ada rekening atau nomer virtual account yg dituju, tolong pencerahannya min",Positif,buat sim tahap bayar nomer rekening tuju bayar bagaiamana ngulang tunggu bayar rekening nomer virtual account tuju tolong cerah min
126,Untuk hasil erikkes koq saya diarahkan harus datang ke faskes yang ditunjuk pak?kalo sebelumnya hasil nya lgsg keluar..mohon penjelasan,Positif,hasil erikkes arah faskes kalo hasil langsung mohon jelas
127,"Sangat membantu, maju terus Korlantas Polri",Positif,bantu maju korlantas polri
128,"Tinggal pembayaran terus gak sengaja keluar, terus masuk lagi tapi kok gak ada panduan untuk masuk dan melakukan pembayaran, hanya status. Saya mau ulang malah aplikasinya kelura sendiri ketika upload data, ini masalahnya setelah upgrade aplikasi.",Positif,tinggal bayar sengaja masuk pandu masuk bayar status ulang aplikasi kelura upload data upgrade aplikasi
129,"Kenapa dari tanggal 2-4 mei sekarang ini tidak bisa memilih satpas, padahal sudah ganti hp dan sinyal juga bagus. Apakah sedang ada trouble pada sistem, mohon bantuannya. Terimakasih",Positif,tanggal mei pilih satpas ganti hp sinyal bagus trouble sistem mohon bantu terimakasih
130,"Saya ingin bertanya, kenapa saya ingin mendaftar sim tapi keterangannya ""Layanan belum tersedia"", itu kenapa yaaa ??",Positif,daftar sim terang layan sedia
131,Tidak bisa ikut psikotes kenapa ya,Positif,psikotes
132,"sangat membantu, praktis, mudah dan hasilnya tidak mengecewakan👍👍👍",Positif,bantu praktis mudah hasil kecewa
133,Mantab,Positif,mantab
134,"Alhamdulillah... untuk pengurusan perpanjangan SIM A dan C done dalam waktu yang tidak terlalu lama, dan Insyaa Allah tinggal menunggu fisik kedua SIM tersebut dikirim sesuai alamat. JOSSSS GANDOS.... Matur nuwun ADMIN, semoga kian memberikan kemudahan dalam proses² administrasi kepada MASYARAKAT.",Positif,alhamdulillah urus panjang sim a sih done insyaa allah tinggal tunggu fisik sim kirim sesuai alamat jossss gandos matur nuwun admin moga kian mudah proses administrasi masyarakat
135,"Kenapa saya berkali-kali verifikasi ektp gagal terus, saya juga sudah kirim email namun belum ada tanggapan, mohon bantuannya.",Positif,verifikasi ektp gagal kirim email tanggap mohon bantu
136,"Semua persyaratan udah lengkap tp, pas masuk wilayah POLDA ko JABAR g ada ya...? Gimna ini pak...? Saya domisili d Cianjur. Apakah bisa warga JABAR cetak SIM di Metro Jaya..? Terimakasih",Positif,syarat lengkap pas masuk wilayah polda jabar domisili cianjur warga jabar cetak sim metro jaya terimakasih
137,"sebaik nya sekalian bisa untuk semua sim, Sim-C A-polos / A-umum B1-polos / B1-umum B2-polos / B2-umum. biar lebih mantap...",Positif,sim sim-c a-polos a-umum b -polos b -umum b -polos b -umum biar mantap
138,Mantap jadi mudah perpanjang sim,Positif,mantap mudah panjang sim
139,"Selamat pagi, Mohon info, saya sudah akan proses bayar namun tidak ada nomor VA untuk pembayaran SIM A & SIM C. gimana caranya saya dapat no VA transaksi 2 SIM tersebut? Terimakasih",Positif,selamat pagi mohon info proses bayar nomor va bayar sim a sim sih no va transaksi sim terimakasih
140,Kalau buat sim baru apa sudah bisa yah,Positif,sim
